"lats","longs"
49.32194,-122.91897
49.32188,-122.9189
49.32183,-122.91885
49.32177,-122.91882
49.32172,-122.91882
49.32165,-122.91883
49.32158,-122.91882
49.32149,-122.91877
49.32138,-122.91869
49.32127,-122.91867
49.32116,-122.91871
49.32115,-122.91874
49.32113,-122.9188
49.32111,-122.91889
49.32107,-122.91896
49.32103,-122.91902
49.32099,-122.91907
49.32095,-122.91913
49.32091,-122.91919
49.32088,-122.91926
49.32085,-122.91931
49.3208,-122.91939
49.32072,-122.91949
49.32067,-122.91951
49.32063,-122.91955
49.32059,-122.91958
49.32055,-122.91963
49.32051,-122.91967
49.32048,-122.91973
49.32043,-122.9198
49.32038,-122.91984
49.32034,-122.91989
49.32029,-122.91993
49.32022,-122.91997
49.32016,-122.92
49.31989,-122.9201
49.31989,-122.9201
49.31984,-122.92011
49.31979,-122.92012
49.31972,-122.92013
49.31967,-122.92016
49.31962,-122.92019
49.31955,-122.92022
49.31951,-122.92023
49.31945,-122.92022
49.31941,-122.9202
49.31936,-122.92017
49.31932,-122.92014
49.31928,-122.9201
49.31924,-122.92006
49.31919,-122.92004
49.31914,-122.92006
49.31907,-122.92009
49.31903,-122.92013
49.31897,-122.92019
49.31885,-122.92045
49.31882,-122.92049
49.31879,-122.92055
49.31875,-122.92061
49.31871,-122.92066
49.31866,-122.9207
49.31862,-122.92074
49.31858,-122.92077
49.31853,-122.92081
49.31849,-122.92085
49.31845,-122.9209
49.31842,-122.92095
49.31838,-122.92101
49.31834,-122.92106
49.3183,-122.92104
49.31826,-122.921
49.3182,-122.92099
49.31815,-122.92103
49.31811,-122.92106
49.31807,-122.9211
49.31804,-122.92115
49.31801,-122.92121
49.31798,-122.92127
49.31795,-122.92134
49.31792,-122.9214
49.31788,-122.92146
49.31784,-122.92151
49.3178,-122.92157
49.31774,-122.92165
49.31765,-122.92184
49.31763,-122.92189
49.31761,-122.92197
49.31761,-122.92204
49.3176,-122.92216
49.3176,-122.92225
49.31758,-122.92235
49.31757,-122.92242
49.31756,-122.92253
49.31753,-122.9226
49.31751,-122.92266
49.31746,-122.92272
49.31742,-122.92276
49.31737,-122.9228
49.31732,-122.92284
49.31725,-122.92291
49.3172,-122.92297
49.31714,-122.92304
49.3171,-122.92311
49.31705,-122.92316
49.317,-122.9232
49.31695,-122.92325
49.31687,-122.92332
49.31683,-122.9234
49.31683,-122.92348
49.31687,-122.92351
49.31692,-122.92353
49.31696,-122.92357
49.317,-122.92362
49.31704,-122.92367
49.31708,-122.92372
49.3171,-122.92378
49.31712,-122.92386
49.31714,-122.92398
49.31715,-122.92407
49.31716,-122.92415
49.31716,-122.92423
49.31712,-122.92428
49.31708,-122.92432
49.31701,-122.92438
49.31694,-122.92442
49.31688,-122.92443
49.31681,-122.92445
49.31676,-122.92449
49.31671,-122.92452
49.31653,-122.92444
49.31653,-122.92444
49.31649,-122.92442
49.31644,-122.92437
49.31639,-122.92434
49.31634,-122.92429
49.31628,-122.92427
49.31622,-122.92426
49.31613,-122.92426
49.31608,-122.92424
49.31601,-122.92422
49.31593,-122.92413
49.31586,-122.92406
49.31582,-122.92402
49.31578,-122.92398
49.31572,-122.92392
49.31567,-122.92388
49.31562,-122.92383
49.31558,-122.92376
49.31554,-122.92369
49.3155,-122.92363
49.31547,-122.92357
49.31544,-122.92349
49.3154,-122.92341
49.31537,-122.92334
49.31524,-122.92311
49.31521,-122.92307
49.31516,-122.92305
49.31511,-122.92302
49.31506,-122.92299
49.31494,-122.92296
49.31494,-122.92296
49.3149,-122.92291
49.31486,-122.92288
49.31481,-122.92287
49.31476,-122.92286
49.31471,-122.92284
49.31466,-122.92283
49.31455,-122.92277
49.31453,-122.92276
49.31448,-122.92276
49.31442,-122.92273
49.31438,-122.9227
49.31433,-122.92269
49.31419,-122.92273
49.31418,-122.92273
49.31415,-122.92277
49.31411,-122.92283
49.31407,-122.92287
49.31402,-122.9229
49.31398,-122.92293
49.31394,-122.92296
49.31389,-122.92299
49.31384,-122.92298
49.3138,-122.92296
49.31375,-122.92294
49.31371,-122.92296
49.31361,-122.9231
49.31361,-122.92316
49.3136,-122.92323
49.31359,-122.92329
49.31358,-122.92337
49.31364,-122.92361
49.31364,-122.92366
49.31364,-122.92374
49.31364,-122.92381
49.31362,-122.92388
49.3136,-122.92395
49.31355,-122.924
49.31351,-122.92406
49.31347,-122.9241
49.31344,-122.92415
49.31339,-122.9242
49.31323,-122.9243
49.31321,-122.92432
49.31316,-122.92437
49.31311,-122.92439
49.31307,-122.92443
49.31304,-122.92449
49.31302,-122.92454
49.313,-122.92461
49.31297,-122.92469
49.31294,-122.92476
49.31292,-122.92482
49.31289,-122.92488
49.31285,-122.92494
49.31282,-122.92501
49.31279,-122.92507
49.31275,-122.92514
49.31271,-122.9252
49.31267,-122.92524
49.31263,-122.92529
49.3126,-122.92534
49.31257,-122.92541
49.31252,-122.92545
49.31247,-122.92544
49.31244,-122.92539
49.31237,-122.92531
